q_id,text,opt_0,opt_1,opt_2,opt_3,val_0,val_1,val_2,val_3
1,做事时提不起劲或没有乐趣,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
2,感到心情低落、沮丧或绝望,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
3,入睡困难、睡不安稳或睡得过多,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
4,感觉疲倦或没有活力,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
5,食欲不振或吃得太多,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
6,觉得自己很糟、或觉得自己很失败、让自己或家人失望,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
7,对事物专注有困难（例如看报纸或看电视时）,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
8,行动或说话缓慢到别人已经察觉，或正好相反——烦躁或坐立不安、动来动去的情况更胜于平常,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
9,有不如死掉或用某种方式伤害自己的念头,完全没有,有几天,一半以上的天数,几乎每天,0,1,2,3
